twoPtRecId,playId,teamId,playerId,twoPointRecPosition,twoPtRecResult,twoPtRecComp,twoPtRecNull
2410015,2024584,4900,20030064,DE,good,1.0,0
2410016,2025671,3300,20020655,WR,failed,0.0,0
2410017,2026146,2310,19970013,TE,good,1.0,0
2410018,2026604,2700,20010052,WR,failed,0.0,0
2410019,2026765,2700,19990078,WR,good,1.0,0
2410020,2027613,2700,19990078,WR,good,1.0,0
2410021,2028227,3800,20030054,WR,failed,0.0,0
2410022,2029378,3000,20000010,WR,failed,0.0,0
2410023,2030529,3200,19930198,WR,good,1.0,0
2410024,2031181,3200,20020048,WR,good,1.0,0
2410025,2031858,3300,19990218,TE,good,1.0,0
2410026,2034521,3700,20030061,TE,good,1.0,0
2410027,2035467,2120,20060170,RB,good,1.0,0
2410028,2041949,4400,20050061,WR,good,1.0,0
2410029,2043896,4600,20020065,WR,failed,0.0,0
2410030,2044047,4600,20020028,TE,good,1.0,0
2410031,2044416,3410,19960034,WR,failed,0.0,0
2410032,2045249,2510,19940033,WR,failed,0.0,0
2410033,2047471,2510,19940033,WR,good,1.0,0
2410034,2050655,2120,20030003,WR,failed,0.0,0
2410035,2051599,2100,20010471,WR,good,1.0,0
2410036,2052161,1200,20040216,WR,failed,0.0,0
2410037,2053218,5110,20010016,WR,good,1.0,0
3410001,3000473,1050,20040006,TE,good,1.0,0
3410002,3001650,2510,20020114,TE,failed,0.0,0
3410003,3002086,920,20010036,WR,failed,0.0,0
3410004,3002144,920,20070456,TE,failed,0.0,0
3410005,3003952,325,20040082,WR,failed,0.0,0
3410006,3005613,1200,19960089,WR,failed,0.0,0
3410007,3005725,1400,20020020,WR,failed,0.0,0
3410008,3008287,810,20070558,WR,failed,0.0,0
3410009,3008928,810,20070031,TE,good,1.0,0
3410010,3009841,4500,20000497,WR,good,1.0,0
3410011,3010261,920,20010411,HB,failed,1.0,0
3410012,3010485,2200,20070536,TE,failed,0.0,0
3410013,3010997,3430,20060117,RB/KR,good,1.0,0
3410014,3012890,1050,20050003,WR,failed,0.0,0
3410015,3012918,1050,19980055,WR,good,1.0,0
3410016,3015874,2520,20020235,WR,good,1.0,0
3410017,3017516,2310,19970013,TE,failed,0.0,0
3410018,3018061,4900,20000027,TE,failed,0.0,0
3410019,3021499,2120,20020047,WR,good,1.0,0
3410020,3024233,2520,20020235,WR,good,1.0,0
3410021,3024515,4900,20070473,FB,failed,0.0,0
3410022,3024529,4900,20070473,FB,failed,0.0,0
3410023,3026914,2700,20060082,WR,good,1.0,0
3410024,3029553,5110,20040081,TE,failed,0.0,0
3410025,3032969,3300,20060252,WR,failed,0.0,0
3410026,3034744,4500,20030197,WR,failed,0.0,0
3410027,3034852,5110,20040081,TE,failed,0.0,0
3410028,3035375,3430,20020088,TE,failed,0.0,0
3410029,3036489,5110,20020062,WR,good,1.0,0
3410030,3037365,1540,20030106,WR,failed,0.0,0
3410031,3037830,2310,20070023,WR,failed,0.0,0
3410032,3039461,3700,20070236,RB,good,1.0,0
3410033,3040415,3900,19980092,WR,good,1.0,0
3410034,3040764,3900,20060025,WR,good,1.0,0
3410035,3040926,3900,20050430,WR,failed,0.0,0
3410036,3042500,4400,20030112,LB,failed,0.0,0
3410037,3042592,2200,20020210,TE,good,1.0,0
